%Time(s);X-Position (X[2]);Y-Position (X[1]);Input U
3.62000000e+00;-8.47652956e-03;-4.78543340e-02;9.61778943e-01
3.63000000e+00;-8.95567661e-03;-4.82286352e-02;9.61974159e-01
3.64000000e+00;-9.43855455e-03;-4.86018175e-02;9.62168457e-01
3.65000000e+00;-9.92515201e-03;-4.89738336e-02;9.62361842e-01
3.66000000e+00;-1.04154572e-02;-4.93446355e-02;9.62554319e-01
3.67000000e+00;-1.09094577e-02;-4.97141752e-02;9.62745893e-01
3.68000000e+00;-1.14071407e-02;-5.00824041e-02;9.62936569e-01
3.69000000e+00;-1.19084931e-02;-5.04492733e-02;9.63126353e-01
3.70000000e+00;-1.24135010e-02;-5.08147336e-02;9.63315250e-01
3.71000000e+00;-1.29221501e-02;-5.11787353e-02;9.63503264e-01
3.72000000e+00;-1.34344256e-02;-5.15412286e-02;9.63690400e-01
3.73000000e+00;-1.39503124e-02;-5.19021630e-02;9.63876664e-01
3.74000000e+00;-1.44697947e-02;-5.22614878e-02;9.64062060e-01
3.75000000e+00;-1.49928560e-02;-5.26191520e-02;9.64246593e-01
3.76000000e+00;-1.55194798e-02;-5.29751043e-02;9.64430269e-01
3.77000000e+00;-1.60496487e-02;-5.33292928e-02;9.64613090e-01
